Codigo,,Descripcion de productos,Ubicación,Cantidad,
101.27,135504642,Clavo bloqueado de Fémur experto en titanio 10x42 der.,AP/BAN-CF-2,1,
101.28,135504644,Clavo bloqueado de Fémur experto en titanio 10x44 der.,AP/BAN-CF-2,1,
101.29,135504738,Clavo bloqueado de Fémur experto en titanio 11x38 der.,AP/BAN-CF-2,1,
101.3,135504740,Clavo bloqueado de Fémur experto en titanio 11x40 der.,AP/BAN-CF-2,1,
101.31,135504742,Clavo bloqueado de Fémur experto en titanio 11x42 der.,AP/BAN-CF-2,1,
101.32,135504744,Clavo bloqueado de Fémur experto en titanio 11x44 der.,AP/BAN-CF-2,1,
102.01,135400036,Tornillo de bloqueo en titanio 4.9x36mm,AP/BAN-CF-2,2,
102.02,135400038,Tornillo de bloqueo en titanio 4.9x38mm,AP/BAN-CF-2,2,
102.03,135400040,Tornillo de bloqueo en titanio 4.9x40mm,AP/BAN-CF-2,2,
102.04,135400042,Tornillo de bloqueo en titanio 4.9x42mm,AP/BAN-CF-2,2,
102.05,135400044,Tornillo de bloqueo en titanio 4.9x44mm,AP/BAN-CF-2,2,
102.06,135400046,Tornillo de bloqueo en titanio 4.9x46mm,AP/BAN-CF-2,2,
102.07,135400048,Tornillo de bloqueo en titanio 4.9x48mm,AP/BAN-CF-2,2,
102.08,135400050,Tornillo de bloqueo en titanio 4.9x50mm,AP/BAN-CF-2,2,
102.09,135400052,Tornillo de bloqueo en titanio 4.9x52mm,AP/BAN-CF-2,2,
102.1,135400056,Tornillo de bloqueo en titanio 4.9x56mm,AP/BAN-CF-2,2,
102.11,135400060,Tornillo de bloqueo en titanio 4.9x60mm,AP/BAN-CF-2,2,
102.12,135400064,Tornillo de bloqueo en titanio 4.9x64mm,AP/BAN-CF-2,2,
102.13,135400068,Tornillo de bloqueo en titanio 4.9x68mm,AP/BAN-CF-2,2,
102.14,135400070,Tornillo de bloqueo en titanio 4.9x70mm,AP/BAN-CF-2,2,
102.15,135400072,Tornillo de bloqueo en titanio 4.9x72mm,AP/BAN-CF-2,2,
102.16,135400076,Tornillo de bloqueo en titanio 4.9x76mm,AP/BAN-CF-2,2,
102.17,135400080,Tornillo de bloqueo en titanio 4.9x80mm,AP/BAN-CF-2,2,
101.03,135503534,Clavo bloqueado de Fémur experto en titanio 9x34 izq.,AP/BAN-CF-3,1,
101.04,135503536,Clavo bloqueado de Fémur experto en titanio 9x36 izq.,AP/BAN-CF-3,1,
101.05,135503538,Clavo bloqueado de Fémur experto en titanio 9x38 izq.,AP/BAN-CF-3,1,
,135503540,Clavo bloqueado de Fémur experto en titanio 9x40 izq.,AP/BAN-CF-3,1,
101.06,135503636,Clavo bloqueado de Fémur experto en titanio 10x36 izq.,AP/BAN-CF-3,1,
101.07,135503638,Clavo bloqueado de Fémur experto en titanio 10x38 izq.,AP/BAN-CF-3,1,
101.08,135503640,Clavo bloqueado de Fémur experto en titanio 10x40 izq.,AP/BAN-CF-3,1,
101.09,135503642,Clavo bloqueado de Fémur experto en titanio 10x42 izq.,AP/BAN-CF-3,1,
101.1,135503644,Clavo bloqueado de Fémur experto en titanio 10x44 izq.,AP/BAN-CF-3,1,
101.11,135503738,Clavo bloqueado de Fémur experto en titanio 11x38 izq.,AP/BAN-CF-3,1,
101.12,135503740,Clavo bloqueado de Fémur experto en titanio 11x40 izq.,AP/BAN-CF-3,1,
101.13,135503742,Clavo bloqueado de Fémur experto en titanio 11x42 izq.,AP/BAN-CF-3,1,
101.14,135503744,Clavo bloqueado de Fémur experto en titanio 11x44 izq.,AP/BAN-CF-3,1,
101.21,135504534,Clavo bloqueado de Fémur experto en titanio 9x34 der.,AP/BAN-CF-3,1,
101.22,135504536,Clavo bloqueado de Fémur experto en titanio 9x36 der.,AP/BAN-CF-3,1,
101.23,135504538,Clavo bloqueado de Fémur experto en titanio 9x38 der.,AP/BAN-CF-3,1,
,,Clavo bloqueado de Fémur experto en titanio 9x40 der.,AP/BAN-CF-3,1,
101.24,135504636,Clavo bloqueado de Fémur experto en titanio 10x36 der.,AP/BAN-CF-3,1,
101.25,135504638,Clavo bloqueado de Fémur experto en titanio 10x38 der.,AP/BAN-CF-3,1,
101.26,135504640,Clavo bloqueado de Fémur experto en titanio 10x40 der.,AP/BAN-CF-3,1,
101.27,135504642,Clavo bloqueado de Fémur experto en titanio 10x42 der.,AP/BAN-CF-3,1,
101.28,135504644,Clavo bloqueado de Fémur experto en titanio 10x44 der.,AP/BAN-CF-3,1,
101.29,135504738,Clavo bloqueado de Fémur experto en titanio 11x38 der.,AP/BAN-CF-3,1,
101.3,135504740,Clavo bloqueado de Fémur experto en titanio 11x40 der.,AP/BAN-CF-3,1,
101.31,135504742,Clavo bloqueado de Fémur experto en titanio 11x42 der.,AP/BAN-CF-3,1,
101.32,135504744,Clavo bloqueado de Fémur experto en titanio 11x44 der.,AP/BAN-CF-3,1,
102.01,135400036,Tornillo de bloqueo en titanio 4.9x36mm,AP/BAN-CF-3,2,
102.02,135400038,Tornillo de bloqueo en titanio 4.9x38mm,AP/BAN-CF-3,2,
102.03,135400040,Tornillo de bloqueo en titanio 4.9x40mm,AP/BAN-CF-3,2,
102.04,135400042,Tornillo de bloqueo en titanio 4.9x42mm,AP/BAN-CF-3,2,
102.05,135400044,Tornillo de bloqueo en titanio 4.9x44mm,AP/BAN-CF-3,2,
102.06,135400046,Tornillo de bloqueo en titanio 4.9x46mm,AP/BAN-CF-3,2,
102.07,135400048,Tornillo de bloqueo en titanio 4.9x48mm,AP/BAN-CF-3,2,
102.08,135400050,Tornillo de bloqueo en titanio 4.9x50mm,AP/BAN-CF-3,2,
102.09,135400052,Tornillo de bloqueo en titanio 4.9x52mm,AP/BAN-CF-3,2,
102.1,135400056,Tornillo de bloqueo en titanio 4.9x56mm,AP/BAN-CF-3,2,
102.11,135400060,Tornillo de bloqueo en titanio 4.9x60mm,AP/BAN-CF-3,2,
102.12,135400064,Tornillo de bloqueo en titanio 4.9x64mm,AP/BAN-CF-3,2,
102.13,135400068,Tornillo de bloqueo en titanio 4.9x68mm,AP/BAN-CF-3,2,
102.14,135400070,Tornillo de bloqueo en titanio 4.9x70mm,AP/BAN-CF-3,2,
102.15,135400072,Tornillo de bloqueo en titanio 4.9x72mm,AP/BAN-CF-3,2,
102.16,135400076,Tornillo de bloqueo en titanio 4.9x76mm,AP/BAN-CF-3,2,
102.17,135400080,Tornillo de bloqueo en titanio 4.9x80mm,AP/BAN-CF-3,2,
101.03,135503534,Clavo bloqueado de Fémur experto en titanio 9x34 izq.,AP/BAN-CF-4,1,
101.04,135503536,Clavo bloqueado de Fémur experto en titanio 9x36 izq.,AP/BAN-CF-4,1,
101.05,135503538,Clavo bloqueado de Fémur experto en titanio 9x38 izq.,AP/BAN-CF-4,1,
101.06,135503636,Clavo bloqueado de Fémur experto en titanio 10x36 izq.,AP/BAN-CF-4,1,
101.07,135503638,Clavo bloqueado de Fémur experto en titanio 10x38 izq.,AP/BAN-CF-4,1,
101.08,135503640,Clavo bloqueado de Fémur experto en titanio 10x40 izq.,AP/BAN-CF-4,1,
101.09,135503642,Clavo bloqueado de Fémur experto en titanio 10x42 izq.,AP/BAN-CF-4,1,
101.1,135503644,Clavo bloqueado de Fémur experto en titanio 10x44 izq.,AP/BAN-CF-4,1,
101.11,135503738,Clavo bloqueado de Fémur experto en titanio 11x38 izq.,AP/BAN-CF-4,1,
101.12,135503740,Clavo bloqueado de Fémur experto en titanio 11x40 izq.,AP/BAN-CF-4,1,
101.13,135503742,Clavo bloqueado de Fémur experto en titanio 11x42 izq.,AP/BAN-CF-4,1,
101.14,135503744,Clavo bloqueado de Fémur experto en titanio 11x44 izq.,AP/BAN-CF-4,1,
101.21,135504534,Clavo bloqueado de Fémur experto en titanio 9x34 der.,AP/BAN-CF-4,1,
101.22,135504536,Clavo bloqueado de Fémur experto en titanio 9x36 der.,AP/BAN-CF-4,1,
101.23,135504538,Clavo bloqueado de Fémur experto en titanio 9x38 der.,AP/BAN-CF-4,1,
101.24,135504636,Clavo bloqueado de Fémur experto en titanio 10x36 der.,AP/BAN-CF-4,1,
101.25,135504638,Clavo bloqueado de Fémur experto en titanio 10x38 der.,AP/BAN-CF-4,1,
101.26,135504640,Clavo bloqueado de Fémur experto en titanio 10x40 der.,AP/BAN-CF-4,1,
101.27,135504642,Clavo bloqueado de Fémur experto en titanio 10x42 der.,AP/BAN-CF-4,1,
101.28,135504644,Clavo bloqueado de Fémur experto en titanio 10x44 der.,AP/BAN-CF-4,1,
101.29,135504738,Clavo bloqueado de Fémur experto en titanio 11x38 der.,AP/BAN-CF-4,1,
101.3,135504740,Clavo bloqueado de Fémur experto en titanio 11x40 der.,AP/BAN-CF-4,1,
101.31,135504742,Clavo bloqueado de Fémur experto en titanio 11x42 der.,AP/BAN-CF-4,1,
101.32,135504744,Clavo bloqueado de Fémur experto en titanio 11x44 der.,AP/BAN-CF-4,1,
102.01,135400036,Tornillo de bloqueo en titanio 4.9x36mm,AP/BAN-CF-4,2,
102.02,135400038,Tornillo de bloqueo en titanio 4.9x38mm,AP/BAN-CF-4,2,
102.03,135400040,Tornillo de bloqueo en titanio 4.9x40mm,AP/BAN-CF-4,2,
102.04,135400042,Tornillo de bloqueo en titanio 4.9x42mm,AP/BAN-CF-4,2,
102.05,135400044,Tornillo de bloqueo en titanio 4.9x44mm,AP/BAN-CF-4,2,
102.06,135400046,Tornillo de bloqueo en titanio 4.9x46mm,AP/BAN-CF-4,2,
102.07,135400048,Tornillo de bloqueo en titanio 4.9x48mm,AP/BAN-CF-4,2,
102.08,135400050,Tornillo de bloqueo en titanio 4.9x50mm,AP/BAN-CF-4,2,
102.09,135400052,Tornillo de bloqueo en titanio 4.9x52mm,AP/BAN-CF-4,2,
102.1,135400056,Tornillo de bloqueo en titanio 4.9x56mm,AP/BAN-CF-4,2,
102.11,135400060,Tornillo de bloqueo en titanio 4.9x60mm,AP/BAN-CF-4,2,
102.12,135400064,Tornillo de bloqueo en titanio 4.9x64mm,AP/BAN-CF-4,2,
102.13,135400068,Tornillo de bloqueo en titanio 4.9x68mm,AP/BAN-CF-4,2,
102.14,135400070,Tornillo de bloqueo en titanio 4.9x70mm,AP/BAN-CF-4,2,
102.16,135400076,Tornillo de bloqueo en titanio 4.9x76mm,AP/BAN-CF-4,2,
102.17,135400080,Tornillo de bloqueo en titanio 4.9x80mm,AP/BAN-CF-4,2,
101.03,135503534,Clavo bloqueado de Fémur experto en titanio 9x34 izq.,AP/BAN-CF-5,1,
101.04,135503536,Clavo bloqueado de Fémur experto en titanio 9x36 izq.,AP/BAN-CF-5,1,
101.05,135503538,Clavo bloqueado de Fémur experto en titanio 9x38 izq.,AP/BAN-CF-5,1,
,,Clavo bloqueado de Fémur experto en titanio 9x40 izq.,AP/BAN-CF-5,1,
,,Clavo bloqueado de Fémur experto en titanio 10x34 izq.,AP/BAN-CF-5,1,
101.06,135503636,Clavo bloqueado de Fémur experto en titanio 10x36 izq.,AP/BAN-CF-5,1,
101.07,135503638,Clavo bloqueado de Fémur experto en titanio 10x38 izq.,AP/BAN-CF-5,1,
101.08,135503640,Clavo bloqueado de Fémur experto en titanio 10x40 izq.,AP/BAN-CF-5,1,
101.09,135503642,Clavo bloqueado de Fémur experto en titanio 10x42 izq.,AP/BAN-CF-5,1,
101.1,135503644,Clavo bloqueado de Fémur experto en titanio 10x44 izq.,AP/BAN-CF-5,1,
101.11,135503738,Clavo bloqueado de Fémur experto en titanio 11x38 izq.,AP/BAN-CF-5,1,
101.12,135503740,Clavo bloqueado de Fémur experto en titanio 11x40 izq.,AP/BAN-CF-5,1,
101.13,135503742,Clavo bloqueado de Fémur experto en titanio 11x42 izq.,AP/BAN-CF-5,1,
101.14,135503744,Clavo bloqueado de Fémur experto en titanio 11x44 izq.,AP/BAN-CF-5,1,
101.21,135504534,Clavo bloqueado de Fémur experto en titanio 9x34 der.,AP/BAN-CF-5,1,
101.22,135504536,Clavo bloqueado de Fémur experto en titanio 9x36 der.,AP/BAN-CF-5,1,
101.23,135504538,Clavo bloqueado de Fémur experto en titanio 9x38 der.,AP/BAN-CF-5,1,
101.24,135504636,Clavo bloqueado de Fémur experto en titanio 10x36 der.,AP/BAN-CF-5,1,
101.25,135504638,Clavo bloqueado de Fémur experto en titanio 10x38 der.,AP/BAN-CF-5,1,
101.26,135504640,Clavo bloqueado de Fémur experto en titanio 10x40 der.,AP/BAN-CF-5,1,
101.27,135504642,Clavo bloqueado de Fémur experto en titanio 10x42 der.,AP/BAN-CF-5,1,
101.28,135504644,Clavo bloqueado de Fémur experto en titanio 10x44 der.,AP/BAN-CF-5,1,
101.29,135504738,Clavo bloqueado de Fémur experto en titanio 11x38 der.,AP/BAN-CF-5,1,
101.3,135504740,Clavo bloqueado de Fémur experto en titanio 11x40 der.,AP/BAN-CF-5,1,
101.31,135504742,Clavo bloqueado de Fémur experto en titanio 11x42 der.,AP/BAN-CF-5,1,
101.32,135504744,Clavo bloqueado de Fémur experto en titanio 11x44 der.,AP/BAN-CF-5,1,
102.01,135400036,Tornillo de bloqueo en titanio 4.9x36mm,AP/BAN-CF-5,2,
102.02,135400038,Tornillo de bloqueo en titanio 4.9x38mm,AP/BAN-CF-5,2,
102.03,135400040,Tornillo de bloqueo en titanio 4.9x40mm,AP/BAN-CF-5,2,
102.04,135400042,Tornillo de bloqueo en titanio 4.9x42mm,AP/BAN-CF-5,2,
102.05,135400044,Tornillo de bloqueo en titanio 4.9x44mm,AP/BAN-CF-5,2,
102.06,135400046,Tornillo de bloqueo en titanio 4.9x46mm,AP/BAN-CF-5,2,
102.07,135400048,Tornillo de bloqueo en titanio 4.9x48mm,AP/BAN-CF-5,2,
102.08,135400050,Tornillo de bloqueo en titanio 4.9x50mm,AP/BAN-CF-5,2,
102.09,135400052,Tornillo de bloqueo en titanio 4.9x52mm,AP/BAN-CF-5,2,
102.1,135400056,Tornillo de bloqueo en titanio 4.9x56mm,AP/BAN-CF-5,2,
102.11,135400060,Tornillo de bloqueo en titanio 4.9x60mm,AP/BAN-CF-5,2,
102.12,135400064,Tornillo de bloqueo en titanio 4.9x64mm,AP/BAN-CF-5,2,
102.13,135400068,Tornillo de bloqueo en titanio 4.9x68mm,AP/BAN-CF-5,2,
102.14,135400070,Tornillo de bloqueo en titanio 4.9x70mm,AP/BAN-CF-5,2,
102.15,135400072,Tornillo de bloqueo en titanio 4.9x72mm,AP/BAN-CF-5,2,
102.16,135400076,Tornillo de bloqueo en titanio 4.9x76mm,AP/BAN-CF-5,2,
102.17,135400080,Tornillo de bloqueo en titanio 4.9x80mm,AP/BAN-CF-5,2,
101.03,135503534,Clavo bloqueado de Fémur experto en titanio 9x34 izq.,AP/BAN-CF-6,1,
101.04,135503536,Clavo bloqueado de Fémur experto en titanio 9x36 izq.,AP/BAN-CF-6,1,
101.05,135503538,Clavo bloqueado de Fémur experto en titanio 9x38 izq.,AP/BAN-CF-6,1,
101.06,135503636,Clavo bloqueado de Fémur experto en titanio 10x36 izq.,AP/BAN-CF-6,1,
101.07,135503638,Clavo bloqueado de Fémur experto en titanio 10x38 izq.,AP/BAN-CF-6,1,
101.08,135503640,Clavo bloqueado de Fémur experto en titanio 10x40 izq.,AP/BAN-CF-6,1,
101.09,135503642,Clavo bloqueado de Fémur experto en titanio 10x42 izq.,AP/BAN-CF-6,1,
101.1,135503644,Clavo bloqueado de Fémur experto en titanio 10x44 izq.,AP/BAN-CF-6,1,
101.11,135503738,Clavo bloqueado de Fémur experto en titanio 11x38 izq.,AP/BAN-CF-6,1,
101.12,135503740,Clavo bloqueado de Fémur experto en titanio 11x40 izq.,AP/BAN-CF-6,1,
101.13,135503742,Clavo bloqueado de Fémur experto en titanio 11x42 izq.,AP/BAN-CF-6,1,
101.14,135503744,Clavo bloqueado de Fémur experto en titanio 11x44 izq.,AP/BAN-CF-6,1,
101.21,135504534,Clavo bloqueado de Fémur experto en titanio 9x34 der.,AP/BAN-CF-6,1,
101.22,135504536,Clavo bloqueado de Fémur experto en titanio 9x36 der.,AP/BAN-CF-6,1,
101.23,135504538,Clavo bloqueado de Fémur experto en titanio 9x38 der.,AP/BAN-CF-6,1,
101.24,135504636,Clavo bloqueado de Fémur experto en titanio 10x36 der.,AP/BAN-CF-6,1,
101.25,135504638,Clavo bloqueado de Fémur experto en titanio 10x38 der.,AP/BAN-CF-6,1,
101.26,135504640,Clavo bloqueado de Fémur experto en titanio 10x40 der.,AP/BAN-CF-6,1,
101.27,135504642,Clavo bloqueado de Fémur experto en titanio 10x42 der.,AP/BAN-CF-6,1,
101.28,135504644,Clavo bloqueado de Fémur experto en titanio 10x44 der.,AP/BAN-CF-6,1,
101.29,135504738,Clavo bloqueado de Fémur experto en titanio 11x38 der.,AP/BAN-CF-6,1,
101.3,135504740,Clavo bloqueado de Fémur experto en titanio 11x40 der.,AP/BAN-CF-6,1,
101.31,135504742,Clavo bloqueado de Fémur experto en titanio 11x42 der.,AP/BAN-CF-6,1,
101.32,135504744,Clavo bloqueado de Fémur experto en titanio 11x44 der.,AP/BAN-CF-6,1,
102.01,135400036,Tornillo de bloqueo en titanio 4.9x36mm,AP/BAN-CF-6,2,
102.02,135400038,Tornillo de bloqueo en titanio 4.9x38mm,AP/BAN-CF-6,2,
102.03,135400040,Tornillo de bloqueo en titanio 4.9x40mm,AP/BAN-CF-6,2,
102.04,135400042,Tornillo de bloqueo en titanio 4.9x42mm,AP/BAN-CF-6,2,
102.05,135400044,Tornillo de bloqueo en titanio 4.9x44mm,AP/BAN-CF-6,2,
102.06,135400046,Tornillo de bloqueo en titanio 4.9x46mm,AP/BAN-CF-6,2,
102.07,135400048,Tornillo de bloqueo en titanio 4.9x48mm,AP/BAN-CF-6,2,
102.08,135400050,Tornillo de bloqueo en titanio 4.9x50mm,AP/BAN-CF-6,2,
102.09,135400052,Tornillo de bloqueo en titanio 4.9x52mm,AP/BAN-CF-6,2,
102.1,135400056,Tornillo de bloqueo en titanio 4.9x56mm,AP/BAN-CF-6,2,
102.11,135400060,Tornillo de bloqueo en titanio 4.9x60mm,AP/BAN-CF-6,2,
102.12,135400064,Tornillo de bloqueo en titanio 4.9x64mm,AP/BAN-CF-6,2,
102.13,135400068,Tornillo de bloqueo en titanio 4.9x68mm,AP/BAN-CF-6,2,
102.14,135400070,Tornillo de bloqueo en titanio 4.9x70mm,AP/BAN-CF-6,2,
102.15,135400072,Tornillo de bloqueo en titanio 4.9x72mm,AP/BAN-CF-6,2,
102.16,135400076,Tornillo de bloqueo en titanio 4.9x76mm,AP/BAN-CF-6,2,
102.17,135400080,Tornillo de bloqueo en titanio 4.9x80mm,AP/BAN-CF-6,2,
101.03,135503534,Clavo bloqueado de Fémur experto en titanio 9x34 izq.,AP/BAN-CF-7,1,
101.04,135503536,Clavo bloqueado de Fémur experto en titanio 9x36 izq.,AP/BAN-CF-7,1,
